iter	Logloss
0	0.640516073
1	0.5965146096
2	0.564534182
3	0.5385734535
4	0.5183437101
5	0.4991713275
6	0.486703025
7	0.4746821446
8	0.4659877981
9	0.4603445556
10	0.4548006417
11	0.4506302795
12	0.4461530166
13	0.4416412684
14	0.4378538802
15	0.4353263353
16	0.4325944724
17	0.4290352585
18	0.4268288393
19	0.4241495905
20	0.422851822
21	0.4218079446
22	0.4205970004
23	0.4190418396
24	0.4182918051
25	0.4173512872
26	0.4164536236
27	0.4153148908
28	0.4144068613
29	0.4135543853
30	0.4128071138
31	0.4120089924
32	0.4114216771
33	0.4110119903
34	0.4104949042
35	0.4097258993
36	0.4093577652
37	0.4089476409
38	0.4083360615
39	0.4077440191
40	0.407220873
41	0.4068483641
42	0.4062909661
43	0.4058435637
44	0.4051145664
45	0.4045532203
46	0.404202431
47	0.403906561
48	0.4037437258
49	0.4034307347
50	0.403141409
51	0.4029089458
52	0.4026505294
53	0.4023780752
54	0.4019007969
55	0.4016736859
56	0.4012346532
57	0.4010992911
58	0.400737777
59	0.4005268928
60	0.4002428099
61	0.3998052416
62	0.3994860409
63	0.3990331095
64	0.3986908081
65	0.3984170929
66	0.3980840295
67	0.3978481183
68	0.3976660368
69	0.3974777188
70	0.3972352906
71	0.3970259178
72	0.3968009361
73	0.3966267443
74	0.3964276057
75	0.3962741274
76	0.3959423658
77	0.3959421817
78	0.3956291803
79	0.3955402228
80	0.3952779031
81	0.3950448176
82	0.3947976386
83	0.3946344469
84	0.3943872575
85	0.3941798967
86	0.3939862006
87	0.3936550509
88	0.3934332668
89	0.3932008217
90	0.3929846642
91	0.3926818641
92	0.3925330603
93	0.3923422076
94	0.3919849104
95	0.3916754738
96	0.3915646164
97	0.3914166841
98	0.3911190729
99	0.390765081
100	0.3905817655
101	0.3903056039
102	0.3899817295
103	0.3896812096
104	0.3894067374
105	0.3891010016
106	0.3888499864
107	0.388519834
108	0.3881847348
109	0.3878723791
110	0.3876363622
111	0.387125219
112	0.3868348857
113	0.3866455626
114	0.3864079703
115	0.3861399411
116	0.3858944042
117	0.3855986074
118	0.3852810557
119	0.3850193634
120	0.3846821776
121	0.384342847
122	0.3841894631
123	0.3838463995
124	0.3836267546
125	0.3832834106
126	0.3830346707
127	0.3826569328
128	0.3824409489
129	0.3821347444
130	0.3819423741
131	0.3818301662
132	0.3815010987
133	0.3812576501
134	0.3811398547
135	0.3808671201
136	0.3805677891
137	0.3804244447
138	0.3802334639
139	0.3799536265
140	0.3796564568
141	0.3793923386
142	0.379271783
143	0.3789360689
144	0.3786838554
145	0.3782838758
146	0.3780613862
147	0.3777698877
148	0.3776112868
149	0.3773679358
150	0.3771935897
151	0.3767366911
152	0.3763815748
153	0.3759435967
154	0.3756590889
155	0.3754710491
156	0.3752211936
157	0.3749845862
158	0.3747155419
159	0.3744742437
160	0.3742971257
161	0.3741391901
162	0.373945914
163	0.3736927124
164	0.3735520541
165	0.3732988308
166	0.3729481865
167	0.3727234984
168	0.3724988994
169	0.3723316773
170	0.3721606355
171	0.3719384583
172	0.3717417527
173	0.371547144
174	0.3714112658
175	0.3709400589
176	0.370744016
177	0.3705706718
178	0.3703993306
179	0.370153124
180	0.369985781
181	0.3697859528
182	0.3696411632
183	0.3694361208
184	0.3692628322
185	0.3690618421
186	0.3689039979
187	0.3686309932
188	0.3685026227
189	0.3683070573
190	0.3681934672
191	0.3680955781
192	0.3679572857
193	0.3677831896
194	0.3675554865
195	0.3674763442
196	0.3673123718
197	0.3672137972
198	0.3669999367
199	0.3667294544
